,,,,,,,,- V EUR,,,,,,- V EUR,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,- V EUR
,,,75,750,7500,7501,7502,7503,7504,7505,7507,7509,751,7510,7511,7512,7513,752,7520,44,440,4400,4401,4402,4403,4404,4409,441,4410,4411,4412,4413,4415,442,4420,4421,443,4430,4431,VI.
,,,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV,"PREJETA MINUS DANA POSOJILA IN SPREMEMBE KAPITALSKIH DELEŽEV
(IV. - V.)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,750+751+752,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,KUPNINE IZ NASLOVA PRIVATIZACIJE,KUPNINE IZ NASLOVA PRIVATIZACIJE,440+441+442+443,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,POVEČANJE KAPITALSKIH DELEŽEV IN FINANČNIH NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN FINANČNIH NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN FINANČNIH NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN FINANČNIH NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN FINANČNIH NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN FINANČNIH NALOŽB,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,"POVEČANJE NAMENSKEGA PREMOŽ. V JAV. SKLADIH IN DRUGIH PRAV. OSEBAH JAV. PRAVA, KI IMAJO PREMOŽENJE V SVOJI LASTI","POVEČANJE NAMENSKEGA PREMOŽ. V JAV. SKLADIH IN DRUGIH PRAV. OSEBAH JAV. PRAVA, KI IMAJO PREMOŽENJE V SVOJI LASTI","POVEČANJE NAMENSKEGA PREMOŽ. V JAV. SKLADIH IN DRUGIH PRAV. OSEBAH JAV. PRAVA, KI IMAJO PREMOŽENJE V SVOJI LASTI",
,,,,,Prejeta vračila danih posojil od posameznikov in zasebnikov,Prejeta vračila danih posojil - od javnih skladov,"Prejeta vračila danih posojil od javnih podjetij in družb, ki so v lasti države ali občin",Prejeta vračila danih posojil - od finančnih institucij,Prejeta vračila danih posojil od privatnih podjetij,Prejeta vračila danih posojil od občin,Prejeta vračila danih posojil - državnemu proračunu,Prejeta vračila plačanih poroštev,,"Sredstva, pridobljena s prodajo kapitalskih deležev v javnih podjetjih in družbah, ki so v lasti države ali občin","Sredstva, pridobljena s prodajo kapitalskih deležev v finančnih institucijah","Sredstva, pridobljena s prodajo kapitalskih deležev v privatnih podjetjih","Sredstva, pridobljena s prodajo drugih kapitalskih deležev",,Sredstva kupnin iz naslova privatizacije,,,Dana posojila posameznikom in zasebnikom,Dana posojila javnim skladom,"Dana posojila javnim podjetjem in družbam, ki so v lasti države ali občin",Dana posojila finančnim institucijam,Dana posojila privatnim podjetjem,Plačila zapadlih poroštev,,"Povečanje kapitalskih deležev v javnih podjetjih in družbah, ki so v lasti države ali občin",Povečanje kapitalskih deležev v finančnih institucijah,Povečanje kapitalskih deležev v privatnih podjetjih,Skupna vlaganja (joint ventures),Povečanje drugih finančnih naložb,,Dana posojila iz sredstev kupnin,"Sredstva kupnin, razporejena v javne sklade in agencije",,Povečanje namenskega premoženja v javnih skladih,"Povečanje premoženja v drugih pravnih osebah javnega prava, ki je v njihovi lasti",
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
2.,195 ,OBČINA APAČE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.040,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.040,00 ","19.040,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-19.040,00 "
3.,2 ,OBČINA BELTINCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
4.,148 ,OBČINA BENEDIKT,"60,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","60,70 ","60,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","60,70 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
